gca_id	sample_id	taxon_id	taxon_name	total-length	ungapped-length	n50	spanned-gaps	unspanned-gaps	scaffold-count	count-contig	contig-n50	contig-L50	contig-n75	contig-n90	scaf-L50	scaf-n75	scaf-n90	replicon-count	count-non-chromosome-replicon	count-alt-loci-units	count-regions	count-patches	ENA-LAST-UPDATED
GCA_001039765.2	SAMEA2560515	202946	Apteryx australis mantelli	1595295449	1382184833	3956354	187979	0	326828	514807	16158	23947	6578	1680	59	533950	23775	1	1	0	0	0	2016-05-26
GCA_001281735.1	SAMN03389315	1220523	Zosterops lateralis melanops	1036003386	1001685655	3581248	59919	0	2933	62852	34514	8267	17019	7790	83	1644665	571384	0	0	0	0	0	2015-09-15
GCA_001420675.1	SAMN04014659	12930	Amazona aestiva	1129535839	1055778279	1281105	71374	0	3232	74606	26171	11630	13795	7059	255	680894	326768	0	0	0	0	0	2015-10-30
GCA_001431845.1	SAMN03491621	198806	Calidris pugnax	1229094286	1182953763	10060041	30404	0	3753	34157	109237	3054	53010	23416	33	3156566	1165905	0	0	0	0	0	2015-11-04
GCA_001447265.1	SAMN04029017	9172	Sturnus vulgaris	1036755994	1012819553	3416708	20305	0	2361	22666	151865	1828	71456	29678	89	1819148	804123	0	0	0	0	0	2015-11-20
GCA_001458055.1	SAMEA3535133	198806	Calidris pugnax	1173203933	1161805099	868209	42307	0	47740	90047	65145	4579	27910	10468	297	314155	86787	0	0	0	0	0	2015-12-04
GCA_001522545.3	SAMN03083587	9157	Parus major	1020310769	1002310835	71365269	22369	0	1675	24044	148693	1868	67216	25138	5	25106277	13820886	33	1	0	0	0	2019-03-20
GCA_001577835.1	SAMN03989050	93934	Coturnix japonica	927640260	917246527	2975000	7111	519	2530	9641	511217	515	246035	103428	86	1445352	667000	32	0	0	0	0	2016-03-01
GCA_001604755.1	SAMN04274560	321398	Lepidothrix coronata	1079577334	1057196348	4972619	18889	0	4612	23501	141849	2198	71808	31270	70	2375466	1119939	0	0	0	0	0	2016-03-31
GCA_001655095.1	SAMN02646017	144762	Phylloscopus trochiloides viridanus	1003330590	996249913	20629	113205	0	158605	271810	11055	25661	5308	2195	13472	9561	3658	0	0	0	0	0	2016-06-02
GCA_001655115.1	SAMN04545452	56441	Phylloscopus plumbeitarsus	997399373	988453161	7450	135378	0	308480	443858	5094	54740	2486	1103	37248	3555	1506	0	0	0	0	0	2016-06-02
GCA_001655135.1	SAMN04539782	144761	Phylloscopus trochiloides trochiloides	975891682	967598047	3610	132524	0	504236	636760	2938	92279	1462	701	75323	1776	838	0	0	0	0	0	2016-06-02
GCA_001700915.1	SAMN02929199	48849	Passer domesticus	1042720703	999727308	6373860	47758	270	2571	50329	51426	5263	23055	9585	50	2853039	957494	31	1	0	0	0	2016-08-31
GCA_001715985.3	SAMN02299332	328815	Manacus vitellinus	1072328541	1044817368	17883582	18094	0	3619	21713	290580	984	122780	36515	16	7888284	2919417	0	0	0	0	0	2019-07-03
GCA_001746935.1	SAMN05224218	1037456	Setophaga coronata coronata	1171929618	1046225303	5523077	214945	0	154686	369631	10785	24337	4205	1344	56	798670	20053	0	0	0	0	0	2016-09-27
GCA_001870855.1	SAMN05433571	211916	Tympanuchus cupido pinnatus	983776544	979919245	12138678	48408	0	12186	60594	47484	5869	23868	10822	23	5873291	1860309	0	0	0	0	0	2016-11-08
GCA_001887755.1	SAMN02981425	8954	Falco peregrinus	1112064469	1099287952	26776924	60279	38	72	60351	33994	9833	18795	10025	12	14853816	6359600	19	0	0	0	0	2016-12-06
GCA_001887795.1	SAMN02981415	8932	Columba livia	1018016946	1003591818	24540102	76962	31	91	77053	27697	10897	14792	7536	11	10748956	4746178	29	0	0	0	0	2016-12-06
GCA_002002965.1	SAMD00050841	52775	Ciconia boyciana	1364945554	1363630464	13257	22319	0	505419	527738	11009	31947	4489	1187	26185	5051	1256	0	0	0	0	0	2017-02-17
GCA_002002985.1	SAMD00050840	30415	Grus japonensis	1265634512	1265171339	8606	8070	0	357545	365615	8228	42062	4006	1722	39953	4143	1761	0	0	0	0	0	2017-02-17
GCA_002003005.1	SAMD00050839	547194	Gallirallus okinawae	1114530436	1114530436	6245	0	0	768680	768680	6245	48754	2804	1041	48754	2804	1041	0	0	0	0	0	2017-02-17
GCA_002008985.2	SAMN02981239	59729	Taeniopygia guttata	1982686095	1982686095	4297012	0	0	3347	3347	4297012	119	1761366	493537	119	1761366	493537	0	0	1	1101	0	2017-03-08
GCA_002021895.1	SAMN02265252	9244	Calypte anna	2021121536	2021121536	2049416	0	0	5971	5971	2049416	212	746965	211989	212	746965	211989	0	0	1	1761	0	2017-03-13
GCA_002023255.2	SAMN02143031	932674	Corvus cornix cornix	1050110261	1040508376	18368925	2265	0	145	2410	8911460	33	4376903	1927143	18	8911460	4309332	0	0	0	0	0	2017-04-25
GCA_002029285.1	SAMN04386172	372326	Patagioenas fasciata monilis	1089149042	1072902253	19987418	138593	0	9784	148377	17937	16931	8883	4132	17	7217473	1827060	0	0	0	0	0	2017-03-15
GCA_002078875.2	SAMN05969731	8996	Numida meleagris	1043264150	1023144302	7868035	13275	273	2739	16014	234926	1259	115936	51468	41	2828415	1213721	32	1	0	0	0	2017-06-01
GCA_002166845.1	SAMN02898389	8845	Anser cygnoides	1130276682	1100672068	5027881	63061	0	1801	64862	35039	8873	17498	8530	71	2075990	812550	0	0	0	0	0	2017-06-05
GCA_002167245.1	SAMN06754710	256693	Sporophila hypoxantha	1067760248	1016064418	7965281	15634	0	5095	20729	1043501	237	285105	28502	31	1662411	371921	0	0	0	0	0	2017-06-05
GCA_002173435.1	SAMN06832911	56070	Urile pelagicus	1210663266	1201124635	1719903	40749	0	20951	61700	67731	5290	35709	17204	195	849796	399138	0	0	0	0	0	2017-06-06
GCA_002173455.1	SAMN06226698	56069	Nannopterum auritus	1246050644	1233994771	1990987	27800	0	27523	55323	97559	3720	51304	23161	186	961727	382670	0	0	0	0	0	2017-06-06
GCA_002173475.1	SAMN05301669	473964	Nannopterum harrisi	1202994831	1192415428	4648443	28944	0	2651	31595	100243	3591	53235	26754	75	2085736	953393	0	0	0	0	0	2017-06-06
GCA_002174335.1	SAMN06832916	37046	Nannopterum brasilianus	1346185690	1335451597	86910	37806	0	266364	304170	35201	10003	12860	1444	3071	25270	1554	0	0	0	0	0	2019-08-06
GCA_002197715.1	SAMN06283872	299123	Lonchura striata domestica	1060169204	1029017788	2953339	30355	0	3015	33370	100439	2867	47476	18377	103	1393263	532950	1	1	0	0	0	2017-06-19
GCA_002218305.1	SAMN04255336	9009	Callipepla squamata	1045281893	1016929532	1035259	25516	0	34302	59818	154132	1950	70864	19129	278	492281	52055	0	0	0	0	0	2017-07-13
GCA_002224875.1	SAMN07337763	75864	Anas zonorhyncha	1310797575	1179289965	2077029	117208	0	20089	137297	33496	9048	13826	4796	152	768988	118649	0	0	0	0	0	2017-07-25
GCA_002224895.1	SAMN07337762	8839	Anas platyrhynchos	1265073014	1169880749	2490036	101664	0	18550	120214	38789	7760	16268	5808	124	810895	159786	0	0	0	0	0	2017-07-25
GCA_002224895.1	SAMN07337762	8839	Anas platyrhynchos	1265073014	1169880749	2490036	101664	0	18550	120214	38789	7760	16268	5808	124	810895	159786	0	0	0	0	0	2017-07-25
GCA_002289315.1	SAMN07414775	28711	Uria lomvia	1179358714	1153442153	15847591	105740	0	9327	115067	24899	12844	12166	5598	23	5711413	1435668	0	0	0	0	0	2019-08-06
GCA_002305835.1	SAMN04881205	209779	Phylloscopus trochilus acredula	1066518484	1047879462	3249743	11077	0	5995	17072	388702	690	170002	56641	77	1241877	420053	0	0	0	0	0	2017-09-15
GCA_002372975.1	SAMN05525316	311401	Strix occidentalis caurina	1255541132	1241798539	3983020	20605	0	8108	28713	159062	2233	76518	32261	92	1836279	618731	0	0	0	0	0	2017-09-26
GCA_002592135.1	SAMN07629812	132585	Anser brachyrhynchus	1116992394	1098292712	4974386	25810	0	2723	28533	97462	3034	44906	20523	63	2170958	777573	0	0	0	0	0	2017-10-19
GCA_002631895.1	SAMN06099614	60468	Agapornis roseicollis	1121789902	1103479229	118346	57406	0	52900	110306	28585	10661	14417	6714	2644	56787	24225	0	0	0	0	0	2019-08-06
GCA_002743455.1	SAMN07569716	8840	Anas platyrhynchos platyrhynchos	1136415614	1080105771	74988519	23551	0	21240	44791	88037	3342	41557	16380	5	21676943	8175025	29	0	0	0	0	2017-11-03
GCA_002798355.1	SAMN07713967	9031	Gallus gallus	1021022236	1001810161	90110113	5900	0	1822	7722	639813	451	304193	129034	4	29293246	12680703	31	1	0	0	0	2017-12-05
GCA_002844005.1	SAMN05417616	1758121	Limosa lapponica baueri	1034771378	886828261	283007	107298	0	32319	139617	21257	8762	5892	1817	649	52693	15641	0	0	0	0	0	2017-12-20
GCA_002849675.1	SAMN07828064	451385	Acridotheres javanicus	1051582182	1013436817	5538430	23869	0	4312	28181	144184	1824	60901	21671	52	2035236	620601	0	0	0	0	0	2018-01-02
GCA_002850735.1	SAMN05726874	44394	Zonotrichia albicollis	1017281565	1011565123	32860	120192	0	110046	230238	10896	23825	4564	1914	7607	11273	3730	0	0	0	0	0	2018-01-04
GCA_002870145.1	SAMN06459718	9228	Psittacula krameri	1417809960	1292600941	1191622	87940	0	167560	255500	23132	15385	10823	3483	314	539379	116734	0	0	0	0	0	2019-08-06
GCA_002901205.1	SAMN03734925	156563	Cyanistes caeruleus	1186980630	1098916372	16846143	21244	0	29297	50541	105778	2815	44215	12196	22	7018745	438520	31	0	0	0	0	2018-02-02
GCA_002909625.1	SAMN07428836	9083	Bambusicola thoracicus	1032295167	1030770818	13160	30422	0	163748	194170	10597	27382	5426	2566	21675	6666	3128	0	0	0	0	0	2018-01-31
GCA_003031625.1	SAMN08663748	164674	Empidonax traillii	1123485537	1070898064	895074	38204	0	7791	45995	86564	3503	40667	12918	326	386988	107655	0	0	0	0	0	2019-01-22
GCA_003259725.1	SAMN08961563	194338	Athene cunicularia	1157069330	1144426484	42147404	33737	0	445	34182	64091	5331	33617	16603	6	23372683	11448861	28	0	0	0	0	2018-06-21
GCA_003264535.1	SAMN06701111	37081	Spheniscus magellanicus	1209851208	1155738748	5226289	96076	0	1783	97859	22336	15723	12333	6402	71	2271571	1030158	0	0	0	0	0	2018-06-25
GCA_003264545.1	SAMN06701109	9240	Spheniscus humboldti	1209857164	1155744694	5226396	96077	0	1783	97860	22341	15723	12333	6402	71	2271616	1030168	0	0	0	0	0	2018-06-25
GCA_003264555.1	SAMN06701107	79643	Pygoscelis antarcticus	1209850003	1155737557	5226338	96076	0	1783	97859	22336	15721	12333	6402	71	2271571	1030168	0	0	0	0	0	2018-06-25
GCA_003264595.1	SAMN06701106	79643	Pygoscelis antarcticus	1209830009	1155717651	5226391	96067	0	1783	97850	22340	15719	12333	6401	71	2271587	1030139	0	0	0	0	0	2018-06-25
GCA_003264615.1	SAMN06701104	30457	Pygoscelis papua	1209909388	1155796886	5226675	96080	0	1783	97863	22339	15723	12331	6402	71	2271720	1030190	0	0	0	0	0	2018-06-25
GCA_003264635.1	SAMN06701103	9238	Pygoscelis adeliae	1209911007	1155798697	5226700	96063	0	1783	97846	22343	15718	12334	6403	71	2271740	1030199	0	0	0	0	0	2018-06-25
GCA_003264655.1	SAMN06701113	156760	Spheniscus mendiculus	1209845584	1155733125	5226231	96076	0	1783	97859	22339	15724	12333	6401	71	2271554	1030169	0	0	0	0	0	2018-06-25
GCA_003264665.1	SAMN06701102	9238	Pygoscelis adeliae	1209911879	1155799530	5226628	96066	0	1783	97849	22339	15723	12335	6404	71	2271709	1030215	0	0	0	0	0	2018-06-25
GCA_003264685.1	SAMN06701105	30457	Pygoscelis papua	1209810801	1155698582	5226246	96055	0	1783	97838	22342	15717	12335	6403	71	2271395	1030109	0	0	0	0	0	2018-06-25
GCA_003264715.1	SAMN06701112	37081	Spheniscus magellanicus	1209860780	1155748331	5226395	96075	0	1783	97858	22337	15721	12332	6402	71	2271575	1030173	0	0	0	0	0	2018-06-25
GCA_003264735.1	SAMN06701108	9240	Spheniscus humboldti	1209849151	1155736710	5226263	96075	0	1783	97858	22339	15720	12332	6402	71	2271595	1030174	0	0	0	0	0	2018-06-25
GCA_003264755.1	SAMN06701110	37081	Spheniscus magellanicus	1209860343	1155747887	5226340	96076	0	1783	97859	22337	15723	12332	6403	71	2271579	1030179	0	0	0	0	0	2018-06-25
GCA_003286495.1	SAMN02854552	64799	Hemignathus virens	1086507881	1039640564	69780276	90044	0	19546	109590	23480	12609	10458	4110	6	21610991	11567664	34	0	0	0	0	2018-07-02
GCA_003342815.1	SAMN08476458	8805	Eudromia elegans	955514612	945803555	3261870	16436	0	2364	18800	126242	2183	65700	31095	82	1580038	728350	0	0	0	0	0	2018-08-06
GCA_003342835.1	SAMN08476461	8795	Pterocnemia pennata	1168291008	1152575296	3903569	32671	0	3019	35690	68142	5090	35963	18011	87	1828947	840399	0	0	0	0	0	2018-08-06
GCA_003342845.1	SAMN08476459	30464	Nothoprocta perdicaria	965904370	953686474	3369196	20792	0	2217	23009	95599	2873	49590	24064	80	1579076	747239	0	0	0	0	0	2018-07-26
GCA_003342895.1	SAMN08476455	8787	Casuarius casuarius	1209001349	1197491916	3704890	17845	0	3184	21029	165721	2025	79147	35773	95	1755683	831808	0	0	0	0	0	2018-08-06
GCA_003342905.1	SAMN08476457	8790	Dromaius novaehollandiae	1192237364	1180465803	3305683	16964	0	2777	19741	172131	1940	81732	36378	112	1637951	745872	0	0	0	0	0	2018-07-26
GCA_003342915.1	SAMN08476456	889801	Crypturellus cinnamomeus	1122047781	1090736764	2401919	36605	0	8086	44691	60620	5231	30057	13513	129	775974	131386	0	0	0	0	0	2018-08-07
GCA_003342965.1	SAMN08476453	8824	Apteryx owenii	1231276503	1213899887	1622467	20746	0	5096	25842	138403	2492	67944	31405	201	742194	331665	0	0	0	0	0	2018-08-07
GCA_003342985.1	SAMN08476452	8823	Apteryx haastii	1221441152	1203441645	1371329	21254	0	4183	25437	120127	2900	59889	28694	230	649186	295978	0	0	0	0	0	2018-08-06
GCA_003343005.1	SAMN08476460	8797	Rhea americana	1160836514	1146662423	3949999	26506	0	2162	28668	88762	3815	46035	22742	78	1879849	849610	0	0	0	0	0	2018-08-06
GCA_003343035.1	SAMN08476454	308060	Apteryx rowi	1228902913	1210309809	1672276	20473	0	4120	24593	129376	2680	65019	30687	181	755020	338596	0	0	0	0	0	2018-09-27
GCA_003400225.1	SAMN09281226	187383	Chlamydotis undulata undulata	1307644940	1209584015	60752	33005	0	80662	113667	42497	7184	16791	3607	2794	26023	9094	0	0	0	0	0	2018-08-16
GCA_003402825.1	SAMN09383001	134902	Corvus hawaiiensis	1497608344	1497608344	4530643	0	0	2752	2752	4530643	79	777563	250793	79	777563	250793	0	0	1	0	0	2018-08-17
GCA_003413605.1	SAMN02980944	9089	Chrysolophus pictus	1023990748	998709025	1560063	51170	0	14294	65464	38217	7891	20203	9872	183	791416	359875	0	0	0	0	0	2018-08-22
GCA_003426825.1	SAMN09425179	44318	Eopsaltria australis	1228344903	1226243171	987278	3513	0	20702	24215	641411	435	159272	29223	301	255470	39343	0	0	0	0	0	2018-08-28
GCA_003435085.1	SAMN07211794	9065	Syrmaticus mikado	1066426119	1046895463	11324524	28492	0	71281	99773	107959	2831	51085	18064	29	4949888	1036189	0	0	0	0	0	2018-08-31
GCA_003546035.1	SAMN07281160	1948886	Mixornis gularis	1036102025	1003784603	2810030	32747	0	9542	42289	71550	3928	33178	13427	99	1220176	433289	0	0	0	0	0	2018-09-27
